"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"53.7","Trent Sherfield","MIA","0.8","0.9","0.5","5.5","0.5","0.6","4.4","2.5","2.7","12.3","","3.3","13.5","0.7","0","2.5","3","0"
"67.1","Chris Moore","HST","3.1","1.4","6.3","0","","","8","0","10.5","7","2.3","0.7","4.6","12.4","4.2","2.5","2.1","2"
"26.2","KhaDarel Hodge","ATL","3.8","5.7","0","0","3.3","0","0","0","1.9","9.7","1.3","0","0","","0","0","0.5","0"
"0","Stanley Berryhill III","DET","","","","","","","","","0","0","0","","","","","","",""
"65.2","Kalif Raymond","DET","0","0","0.4","4.1","4.5","","9.5","7.6","1.7","4.7","4","3.5","0.6","1.9","5.3","6.4","4.4","6.6"
"114.1","Zay Jones","JAX","6.5","2.3","14.5","","1.2","4.2","6.8","3.5","4","6.8","","14.5","1.6","13.7","28.9","1.1","2.4","2.1"
"22.2","River Cracraft","MIA","0","6.2","7.1","0","0","0","0","","","","","5.5","2.9","","","","0","0.5"
"7.8","Kyle Philips","TEN","6.6","0.5","","0","0.7","","","","","","","","","","","","",""
"44.1","Ray-Ray McCloud III","SF","2","1.6","1.1","0.6","0","0","12.5","1.1","","3.3","0","1.2","0","1.8","1.6","13.1","4.2","0"
"111.3","JuJu Smith-Schuster","KC","7.9","1","8.9","4.6","3.3","17.3","18.4","","8.8","3.3","","3.8","3.5","13.4","8.8","2.7","2.1","3.5"
"0","Tanner Gentry","BUF","","","","","0","","","","","","0","0","","","","","",""
"0","Kaylon Geiger","TB","","0","0","","0","","","","","","","","","","","","",""
"4","Michael Woods II","CLV","","","","","","1.5","0","0.6","","0","0","","","0","-0.1","0.5","0","1.5"
"70.3","DeAndre Carter","LAC","12.4","5.5","2.6","1.6","0.9","1.7","3.7","","5.3","12.4","3.3","13.3","1.4","0","0.5","0","1.4","4.3"
"44.3","Tyquan Thornton","NE","","","","","0.7","17.3","1.9","1.3","0.5","","0.5","0","3.1","2.8","2.1","0.8","12","1.3"
"3.5","Cole Beasley","BUF","","","1.2","0.5","","","","","","","","","","","0.9","0.9","",""
"140.8","D.K. Metcalf","SEA","3.6","3.5","12.4","14.9","14.8","3.4","1.2","11.5","9.7","7.1","","9","18.7","13.1","5.5","8.1","0.3","4"
"71.3","Alec Pierce","IND","0","","6.1","8","8.1","10.9","3.7","6.5","2.3","0","2.8","0","14.6","","0","2.6","1.5","4.2"
"25.5","Byron Pringle","CHI","2.2","0","1.1","","","","","","","1.2","0","7.2","0","","9.9","3.4","0","0.5"
"1.8","Keith Kirkwood","NO","","","","","0.4","1.4","","","","","","","","","","0","0","0"
"89","Marquise Brown","ARZ","10.3","6.8","14","14.8","13.8","6.8","","","","","","4.6","","3.3","1.9","5.8","6.1","0.8"
"43.3","Kadarius Toney","KC","2.3","0","","","","","","","1.2","15","0","","","","0.5","6.8","7.1","10.4"
"97.8","Mack Hollins","LV","1.6","6.6","21.8","3.3","0","","10.4","6.4","1.7","2.6","5.2","12.3","3.5","6.2","10","0.7","4","1.5"
"35.6","A.J. Green","ARZ","1.3","1.6","0","","2","0.7","","0","0","7","5","0.5","","0.7","0","0","1.7","15.1"
"137.3","Jerry Jeudy","DEN","16.2","1.2","1.7","11.3","5.3","5.5","9.6","12.3","","0","","","6.5","25.3","7.6","11.7","3.8","19.3"
"21","Zach Pascal","PHI","0.7","1.4","1.8","0","0","0","","11.7","0.8","1","0.9","0","1.6","0.5","0","0.6","0","0"
"119.5","Michael Pittman Jr.","IND","18.1","","7.2","3.1","5.9","13.4","5.8","5.3","2.2","5.3","7.5","12.1","1.6","","9","3.9","10.1","9"
"22.1","Khalil Shakir","BUF","","0","","2.3","13.5","1.4","","0","0","0.6","0","0","1","0","0","0.5","","2.8"
